First Name,Middle Name,Last Name,Employee ID,Department,Contact,Age,Sex,Status,Sports
Darius,Holly,Erich Clarke,1138,College Clinic,9207108250,58,Female,Fit,
Fuller,Rahim,Yen Warner,1139,Discipline Unit,9123456789,65,Male,Fit,
Derek,Elmo,Wyoming Kent,1140,Guidance and Admission Unit,9147483647,33,Male,Fit,
Christen,Rhoda,Hilel Nash,1141,Academic Affairs Office,9147483647,35,Female,Fit,
Jada,Brooke,Jacqueline Kline,1142,Student Welfare and Services Office,9123456789,63,Female,Fit,
Sarah,Echo,Owen Daugherty,1143,Research and Extension Office,9946441167,51,Male,Fit,
Victor,Suki,Geraldine Montgomery,1144,Administration and Finance Services Office,9863381915,26,Male,Heart Disease,Bowling
Sade,Brett,Hillary Aguirre,1145,Information and Communication Services Unit,9780322664,43,Female,Fit,Mobile Legends
Hoyt,Ulysses,Thor Soto,1146,College President Office,9697263413,28,Male,Cancer,Triathlon
Ainsley,Gay,Blake Nunez,1147,College of Business and Accountancy,9147483647,58,Male,Fit,Basketball
Beau,Jerry,Maris Prince,1148,College Library,9673902158,49,Female,Fit,
Margaret,Nathaniel,Lee Murphy,1149,College Registar,9207108250,57,Female,Fit,
Yoshio,Brenna,Dawn Guerra,1150,College Administrator Office,9123456789,64,Male,Fit,Volleyball
Hedwig,Kelsie,Deborah Hines,1151,Institute of Human Kinetics,9147483647,23,Male,Fit,Badminton
Channing,Dexter,Jin Sargent,1152,Maintenance and Finance Services Office,9147483647,56,Female,On Official Time,Chess
Colton,Edan,Jael Justice,1153,Institute of Graduate Studies,9123456789,47,Male,On-Leave,
Derek,Mason,Kaseem Lambert,1154,College of Computer Studies,9946441167,56,Male,On-Leave,
Elvis,Keith,Jeanette Salazar,1155,"College of Education, Arts, and Sciences",9863381915,28,Female,Injuries,
Unity,Martin,Ferris Matthews,1156,College of Computer Studies,9780322664,37,Female,Hypertension,
Keith,Violet,Lynn Brooks,1157,Management Information and Communication Services Unit,9697263413,38,Male,Diabetes,
Angela,Audrey,Fuller Mendoza,1158,College of Allied Health Studies,9147483647,29,Male,Cardiovascular Disease,
Louise,,Soria,1159,National Service Training Program,9673902158,29,Male,Fever,
